alcohol,amount_over_300,banana,beer,bread,chocolate,cola,eggs,fruits,ice_cream,over_10_item_types,vegetables,vodka
0.5314078222290411,0.47375606046202107,0.5957648430394736,0.5809433106575963,0.6163345025510204,0.4203999815912334,0.5702519110814963,0.5294857839687035,0.5964523281596452,0.6127603552041538,0.5189400694884801,0.62053125,0.327459701946472
0.5448292214626924,0.4944341861237315,0.5526035840407097,0.5048199311960799,0.5931201895270721,0.5499225243916852,0.4476350648594227,0.45064364451307126,0.6352594138635328,0.5885199567017749,0.6268123135686563,0.5086080946466125,0.39076974203464465
0.611258087890447,0.4646175716089862,0.5565794929436743,0.6461227628346717,0.5492435591716796,0.4309537826880279,0.5475432765544939,0.5408894151077432,0.5555048087449641,0.5509508398637701,0.5879846352855889,0.5430233207686479,0.5092024147647811
0.6571122471018737,0.4738346316874785,0.5430026319974962,0.6435997964759674,0.6093431397279855,0.4358563423002872,0.48704577920628545,0.5708288050509756,0.5392682331135222,0.6030189708231077,0.5952622521814203,0.643755820460915,0.49183769232668995
0.6561148628458734,0.5565498001030322,0.5491563813915639,0.6478677062234677,0.5188508094794702,0.43769996445076437,0.5163300835654596,0.4105508336057535,0.534216770995891,0.47147898147910955,0.5782518514878449,0.5964250258322021,0.4992777945910254
0.6601074332527993,0.4474793375590356,0.6113462661217558,0.6487586464996938,0.5854724106632768,0.4530312998835152,0.5337432513497301,0.6240050261012123,0.5714604399549656,0.5467296077916498,0.5808945877441479,0.5623533161204666,0.4964513697311862
0.7075438382966638,0.6340840543337076,0.5516109361632415,0.6870858918490641,0.5549855991330143,0.4984407126484274,0.38227318017747025,0.59650277700571,0.5434813335624988,0.5777601050266354,0.6984216238321432,0.6441082098329804,0.20031455887452324
0.5739178877783554,0.49706202116365006,0.46287074956564905,0.5384905630338394,0.5154536646871428,0.35199335726806125,0.5436418975044821,0.3726083205875616,0.5255115624785562,0.5289421562268347,0.4998758399065148,0.5117192614901139,0.558399774866728
0.6681257785829514,0.4792452189808964,0.5721377140731979,0.6906784422976338,0.5046180783541256,0.2922989007022873,0.4099452654625068,0.5182433597792343,0.5819667218207605,0.41883905109711567,0.4726872314217716,0.5340337676267899,0.5204533665317979
0.5265613437916234,0.5162846938103703,0.6556332667330713,0.4451554885497165,0.5447024945474372,0.2202706873734192,0.6075219823028549,0.43148656496368826,0.6323592511692161,0.529297232492587,0.5509044489209489,0.4820238485942457,0.6121179401993356
0.5822779347455139,0.5794587484471293,0.5188449645592503,0.5396851300151173,0.5339834966504255,0.4876524247985815,0.40012654192631764,0.5335276265032902,0.5243592560665732,0.5362239525504832,0.5971436597361252,0.6206485195797516,0.38699858976243756
0.6571654254118708,0.5092801199521937,0.5495495315314596,0.647233887790953,0.6236566065513434,0.429946179120724,0.41503058927643854,0.5236224187933983,0.5081385212591878,0.4467961994041131,0.633289945629784,0.5142247079567996,0.6146326143704225
0.6764715265083725,0.4305903058597803,0.7007224023834006,0.6995345737039887,0.568145399865773,0.3284057333102328,0.5040433114035088,0.3507656586297285,0.633140072452514,0.4964529227322678,0.43494889665242037,0.5555188774685073,0.3938839164632492
0.609035507420457,0.42376116232299865,0.5583331607183545,0.5265259555048489,0.5876302442593322,0.44618100404718847,0.47478205831621,0.5145881723844058,0.4892324866896933,0.5704666610309733,0.557415723903245,0.582206135160117,0.3352337308235603
0.7326701737106556,0.5760434031518507,0.3760446123097333,0.6883147792706333,0.5919701626502747,0.5532401330768942,0.6060640325655026,0.6192864054581536,0.46971204865173743,0.6015524794636902,0.6470066753414369,0.5852043900578102,0.416744681489483
0.6952046927846675,0.5172241905182539,0.5226557815598911,0.6729979989084955,0.6217597932419155,0.40733374880856366,0.564006812072963,0.6291998888437613,0.5855803170397524,0.6184686858316222,0.6500209483438486,0.7043296687607081,0.3450869680548713
0.6300601866919076,0.5076419080955045,0.5100478402743212,0.5777219259402089,0.5625851264281833,0.5509230874037742,0.6104918576627736,0.39772697006285734,0.528035218027127,0.5278324064249388,0.42963226653326003,0.5206016904521719,0.3504887423646041
0.6011144157252083,0.485850094421093,0.5648228171087161,0.4997547681096677,0.518491978709692,0.3981041529268341,0.4560977794857347,0.3877388881633364,0.597180683060968,0.4677821372720764,0.6258954302181968,0.6049455647140087,0.2594652539559588
